team,id
Albacete,722
Alcorcon,711
Almeria,723
Amorebieta,9380
Barcelona B,712
Burgos,9580
Cadiz,724
Castellón,5254
Cordoba,713
Cultural Leonesa,725
Deportivo La Coruna,544
Eibar,545
Elche,797
Espanyol,540
Extremadura,860
FC Cartagena,5262
Fuenlabrada,4906
Getafe,546
Gimnastic,714
Girona,547
Granada CF,715
Huesca,726
Ibiza,9390
Las Palmas,534
Leganes,537
Levante,539
Lorca FC,721
Lugo,716
Malaga,535
Mallorca,798
Mirandes,799
Numancia,717
Osasuna,727
Oviedo,718
Ponferradina,4907
Racing Santander,4665
Rayo Majadahonda,861
Rayo Vallecano,728
Real Sociedad II,9585
Reus,729
Sabadell,9593
Sevilla Atletico,730
Sporting Gijon,731
Tenerife,719
UD Logroñés,5280
Ucam Murcia,800
Valladolid,720
Zaragoza,732
